Joint,Frame,TranslateX,TranslateY,TranslateZ,RotateX,RotateY,RotateZ
RightFoot,0,-5.538293379458992e-09,44.52781295776367,1.8670633954360506e-14,7.581807613372804,0.13858960568904877,-6.952136516571045
RightForeArm,0,-9.964063352185804e-09,27.84151840209961,3.5581794130025435e-14,1.1570429705898277e-05,-3.7518461795116305e-06,-32.51676940917969
RightHand,0,2.285859955009073e-05,28.328838348388672,4.472538876143517e-06,8.018779754638672,-25.166030883789062,-9.266868591308594
RightHandIndex1,0,2.2598350048065186,9.108283042907715,0.5178621411323547,10.760214805603027,0.9339154958724976,-0.7843791842460632
RightHandIndex2,0,-8.564062138486164e-15,3.700000047683716,-9.364993623520255e-15,26.708648681640625,-0.6362192034721375,3.365124225616455
RightHandIndex3,0,-3.4287107658279026e-13,2.8499999046325684,-8.893045189140025e-10,17.434988021850586,0.16783078014850616,0.6007865071296692
RightHandIndex4,0,7.906754135970917e-13,2.772190570831299,5.114471068878856e-10,0.0,0.0,0.0
RightHandMiddle1,0,-2.3687323846388608e-05,9.532501220703125,3.98556912841741e-05,22.993894577026367,-0.8315747380256653,8.171984672546387
RightHandMiddle2,0,-1.0026188389179909e-14,3.700000047683716,-2.8084324349051358e-14,37.93343734741211,-1.1779016256332397,4.273779392242432
RightHandMiddle3,0,-2.5163898742519564e-13,2.950000047683716,-1.5411337983550766e-08,31.037597656249996,-0.8207839131355286,3.112760066986084
RightHandMiddle4,0,1.1329193740907892e-13,2.9466288089752197,7.2058732314417284e-09,0.0,0.0,0.0
RightHandPinky1,0,-3.8062775135040283,8.076676368713379,0.48670369386672974,44.80594253540039,-2.460110902786255,10.232192039489746
RightHandPinky2,0,-1.071511755463151e-14,3.5999999046325684,-3.08777898811851e-14,48.96779251098633,-1.6081061363220215,4.237246036529541
